,Ticker,Date,CLOSE
2148454,002008,2004-06-30,3.580248703701019
2148476,002008,2004-07-30,3.3123473351827006
2148498,002008,2004-08-31,2.3283962259241795
2148519,002008,2004-09-30,2.882717490738578
2148535,002008,2004-10-29,2.493828407405537
2148557,002008,2004-11-30,2.5135815037018188
2148580,002008,2004-12-31,2.296297444442722
2148600,002008,2005-01-31,1.881482422220811
2148615,002008,2005-02-28,2.191359120368727
2148638,002008,2005-03-31,1.940741711109656
2148659,002008,2005-04-29,1.7382724740727704
2148675,002008,2005-05-31,1.6604946574061616
2148697,002008,2005-06-30,1.7111111111098276
2148718,002008,2005-07-29,1.6388888888876598
2148741,002008,2005-08-31,2.057407407405864
2148754,002008,2005-09-30,2.509259259257377
2148759,002008,2005-10-14,2.7592592592571905
2148762,002008,2005-11-30,2.231481481479808
2148784,002008,2005-12-30,1.942592592591136
2148800,002008,2006-01-25,2.5166666666647792
2148818,002008,2006-02-28,2.27962962962792
2148841,002008,2006-03-31,2.4444444444426106
2148861,002008,2006-04-28,3.129629629627282
2148878,002008,2006-05-31,3.416670083334188
2148900,002008,2006-06-30,4.194448638889938
2148921,002008,2006-07-31,3.452781230556419
2148943,002008,2006-08-31,3.644448088889799
2148962,002008,2006-09-29,4.116670783334363
2148979,002008,2006-10-31,4.580560136112256
2149001,002008,2006-11-30,4.800004800001201
2149022,002008,2006-12-29,5.744450188890325
2149042,002008,2007-01-31,5.994450438890388
2149057,002008,2007-02-28,5.672227894445864
2149079,002008,2007-03-30,6.4888953777794
2149099,002008,2007-04-30,8.638897527779939
2149117,002008,2007-05-31,8.3416708375
2149138,002008,2007-06-29,9.47917140625
2149159,002008,2007-07-31,11.5416724375
2149182,002008,2007-08-31,12.654172993750002
2149201,002008,2007-09-28,12.00417266875
2149218,002008,2007-10-31,10.52083859375
2149240,002008,2007-11-30,11.22917228125
2149260,002008,2007-12-28,12.7916730625
2149281,002008,2008-01-31,11.2083389375
2149297,002008,2008-02-29,12.5416729375
2149317,002008,2008-03-31,9.62917148125
2149338,002008,2008-04-30,8.78667106
2149358,002008,2008-05-30,8.65333766
2149378,002008,2008-06-30,7.55333711
2145457,002008,2008-07-31,8.30667082
2145477,002008,2008-08-29,7.44000372
2145496,002008,2008-09-26,6.54666994
2145515,002008,2008-10-31,3.42000171
2145535,002008,2008-11-28,3.60666847
2145558,002008,2008-12-31,3.90000195
2145573,002008,2009-01-23,4.52000226
2145593,002008,2009-02-27,4.50000225
2145614,002008,2009-03-31,5.846669589999999
2145635,002008,2009-04-30,6.266669800000001
2145652,002008,2009-05-27,5.813336240000001
2145674,002008,2009-06-30,5.43333605
2145697,002008,2009-07-31,5.933336300000001
2145718,002008,2009-08-31,4.66000233
2145739,002008,2009-09-30,5.08666921
2145755,002008,2009-10-30,5.7533362100000005
2145775,002008,2009-11-30,5.83333625
2145797,002008,2009-12-31,7.21333694
2145817,002008,2010-01-29,7.546670440000001
2145832,002008,2010-02-26,7.94667064
2145855,002008,2010-03-31,7.900003949999999
2145876,002008,2010-04-30,8.04000402
2145895,002008,2010-05-31,7.54000377
2145914,002008,2010-06-30,7.39333703
2145936,002008,2010-07-30,8.533337600000001
2145958,002008,2010-08-31,9.5333381
2145976,002008,2010-09-30,8.900004449999999
2145992,002008,2010-10-29,11.186672260000002
2146014,002008,2010-11-30,11.30000565
2146036,002008,2010-12-31,14.9333408
2146056,002008,2011-01-31,13.52667343
2146071,002008,2011-02-28,16.12667473
2146094,002008,2011-03-31,14.340007170000002
2146113,002008,2011-04-29,12.5333396
2146133,002008,2011-05-31,11.74667254
2146154,002008,2011-06-30,12.48
2146175,002008,2011-07-29,12.34
2146198,002008,2011-08-31,9.83
2146219,002008,2011-09-30,8.75
2146235,002008,2011-10-31,8.19
2146257,002008,2011-11-30,8.99
2146278,002008,2011-12-30,6.56
2146293,002008,2012-01-31,7.09
2146314,002008,2012-02-29,8.26
2146336,002008,2012-03-30,7.01
2146353,002008,2012-04-27,7.33
2146374,002008,2012-05-31,7.19
2146394,002008,2012-06-29,6.28
2146416,002008,2012-07-31,5.74
2146437,002008,2012-08-31,7.61
2146457,002008,2012-09-28,7.44
2146475,002008,2012-10-31,8.11
2146497,002008,2012-11-30,6.94
2146518,002008,2012-12-31,8.18
2146538,002008,2013-01-31,10.55
